antecedents,consequents,support,confidence,lift
"pork, flour",cheeses,0.0685,0.4727,1.21
"soap, flour",pork,0.065,0.4302,1.21
"waffles, tortillas",dinner rolls,0.0702,0.4706,1.2099
"eggs, flour",dinner rolls,0.0702,0.4706,1.2099
"soda, dinner rolls",shampoo,0.0764,0.4462,1.2099
"cereals, dinner rolls",shampoo,0.0764,0.4462,1.2099
"cheeses, sugar",fruits,0.0685,0.4483,1.2099
"toilet paper, soda",flour,0.0694,0.427,1.2099
"hand soap, all- purpose",paper towels,0.0597,0.4387,1.2099
"pork, individual meals",tortillas,0.0632,0.4472,1.2099
"eggs, pasta",bagels,0.079,0.4663,1.2099
"paper towels, flour",juice,0.0632,0.4557,1.2099
"coffee/tea, ketchup",aluminum foil,0.0764,0.4652,1.2098
"sandwich bags, fruits",spaghetti sauce,0.0694,0.4514,1.2098
"eggs, individual meals",spaghetti sauce,0.0694,0.4514,1.2098
"cheeses, lunch meat",beef,0.0729,0.4536,1.2098
"milk, aluminum foil",beef,0.0729,0.4536,1.2098
"cereals, waffles",beef,0.0729,0.4536,1.2098
"paper towels, spaghetti sauce",bagels,0.0729,0.4663,1.2098
"spaghetti sauce, aluminum foil",bagels,0.0729,0.4663,1.2098
"aluminum foil, all- purpose",pork,0.0676,0.4302,1.2098
"beef, dinner rolls",eggs,0.0729,0.4716,1.2098
"sugar, lunch meat",hand soap,0.0676,0.4185,1.2098
"fruits, bagels",sandwich bags,0.0746,0.445,1.2097
"spaghetti sauce, soda",sandwich bags,0.0746,0.445,1.2097
"toilet paper, lunch meat",milk,0.0755,0.4599,1.2097
"shampoo, mixes",flour,0.0667,0.427,1.2097
"cheeses, ice cream",poultry,0.0913,0.5098,1.2097
"sugar, individual meals",juice,0.0676,0.4556,1.2097
"poultry, all- purpose",butter,0.0781,0.445,1.2097
"eggs, pork",all- purpose,0.0685,0.4535,1.2097
"sandwich bags, aluminum foil",beef,0.0685,0.4535,1.2097
"cheeses, paper towels",all- purpose,0.0685,0.4535,1.2097
"beef, butter",cheeses,0.0606,0.4726,1.2097
"soda, butter",individual meals,0.0702,0.4545,1.2096
"soap, pork",individual meals,0.0658,0.4545,1.2096
"dishwashing liquid/detergent, lunch meat",mixes,0.079,0.4545,1.2096
"soap, ketchup",individual meals,0.0746,0.4545,1.2096
"paper towels, pasta",individual meals,0.0746,0.4545,1.2096
"sandwich bags, ketchup",mixes,0.0746,0.4545,1.2096
"soap, poultry",sandwich bags,0.0817,0.445,1.2096
"cheeses, mixes",pork,0.0702,0.4301,1.2096
"sandwich bags, pasta",ice cream,0.0711,0.4821,1.2096
"mixes, sandwich loaves",ice cream,0.0711,0.4821,1.2096
"sandwich bags, pork",paper towels,0.0658,0.4386,1.2096
"fruits, all- purpose",paper towels,0.0658,0.4386,1.2096
"cereals, laundry detergent",eggs,0.0799,0.4715,1.2096
"cheeses, paper towels",yogurt,0.0702,0.4651,1.2095
"shampoo, pasta",yogurt,0.0702,0.4651,1.2095
"eggs, shampoo",aluminum foil,0.0702,0.4651,1.2095
"eggs, pork",yogurt,0.0702,0.4651,1.2095
"spaghetti sauce, beef",juice,0.072,0.4556,1.2095
"soap, sandwich loaves",juice,0.072,0.4556,1.2095
"fruits, yogurt",juice,0.072,0.4556,1.2095
"soda, ketchup",juice,0.072,0.4556,1.2095
"mixes, individual meals",tortillas,0.0667,0.4471,1.2095
"beef, laundry detergent",all- purpose,0.0641,0.4534,1.2095
"butter, juice",sandwich loaves,0.0623,0.4226,1.2095
"sandwich bags, spaghetti sauce",sandwich loaves,0.0623,0.4226,1.2095
"yogurt, soda",juice,0.0764,0.4555,1.2094
"waffles, spaghetti sauce",paper towels,0.072,0.4385,1.2093
"bagels, shampoo",lunch meat,0.0755,0.4778,1.2093
"pork, flour",sugar,0.0632,0.4364,1.2093
"pork, sandwich loaves",all- purpose,0.0597,0.4533,1.2092
"sandwich bags, sugar",beef,0.0597,0.4533,1.2092
"waffles, soda",dinner rolls,0.0834,0.4703,1.2092
"sandwich loaves, juice",cereals,0.0694,0.4788,1.2092
"toilet paper, sandwich bags",cereals,0.0694,0.4788,1.2092
"poultry, mixes",pork,0.0781,0.43,1.2092
"fruits, flour",lunch meat,0.0658,0.4777,1.2091
"sandwich bags, sandwich loaves",yogurt,0.0641,0.465,1.2091
"sugar, butter",lunch meat,0.0658,0.4777,1.2091
"sugar, mixes",aluminum foil,0.0641,0.465,1.2091
"fruits, flour",soap,0.0632,0.4586,1.2091
"milk, pork",cheeses,0.0676,0.4724,1.2091
"milk, sandwich loaves",toilet paper,0.0615,0.4575,1.2091
"cheeses, ice cream",sugar,0.0781,0.4363,1.209
"cereals, tortillas",coffee/tea,0.0729,0.4586,1.209
"sandwich bags, spaghetti sauce",dinner rolls,0.0694,0.4702,1.209
"sandwich bags, pasta",dinner rolls,0.0694,0.4702,1.209
"cereals, yogurt",pasta,0.0773,0.449,1.209
"yogurt, ketchup",eggs,0.072,0.4713,1.2089
"fruits, pork",paper towels,0.0562,0.4384,1.2089
"laundry detergent, flour",shampoo,0.065,0.4458,1.2089
"toilet paper, paper towels",spaghetti sauce,0.0729,0.4511,1.2089
"eggs, juice",laundry detergent,0.0755,0.4574,1.2089
"cheeses, spaghetti sauce",toilet paper,0.0755,0.4574,1.2089
"ketchup, mixes",laundry detergent,0.0755,0.4574,1.2089
"eggs, juice",toilet paper,0.0755,0.4574,1.2089
"mixes, dinner rolls",yogurt,0.0755,0.4649,1.2089
"mixes, dinner rolls",aluminum foil,0.0755,0.4649,1.2089
"milk, butter",poultry,0.0711,0.5094,1.2088
"all- purpose, individual meals",poultry,0.0711,0.5094,1.2088
"coffee/tea, hand soap",poultry,0.0711,0.5094,1.2088
"yogurt, mixes",tortillas,0.0737,0.4468,1.2088
"paper towels, bagels",shampoo,0.0685,0.4457,1.2087
"mixes, lunch meat",shampoo,0.0685,0.4457,1.2087
"laundry detergent, pasta",shampoo,0.0685,0.4457,1.2087
"bagels, aluminum foil",beef,0.0764,0.4531,1.2087
"sandwich loaves, dinner rolls",waffles,0.0711,0.4765,1.2087
"toilet paper, pasta",waffles,0.0711,0.4765,1.2087
"butter, laundry detergent",soda,0.0746,0.4722,1.2087
"bagels, ketchup",cheeses,0.0746,0.4722,1.2087
"fruits, yogurt",cheeses,0.0746,0.4722,1.2087
"milk, spaghetti sauce",cheeses,0.0746,0.4722,1.2087
"yogurt, individual meals",cheeses,0.0746,0.4722,1.2087
"fruits, aluminum foil",cheeses,0.0746,0.4722,1.2087
"ketchup, dinner rolls",soda,0.0746,0.4722,1.2087
"soap, laundry detergent",ketchup,0.0694,0.4489,1.2086
"poultry, hand soap",pasta,0.0694,0.4489,1.2086
"poultry, hand soap",ketchup,0.0694,0.4489,1.2086
"waffles, mixes",ketchup,0.0694,0.4489,1.2086
"flour, sandwich loaves",bagels,0.0658,0.4658,1.2086
"pasta, sandwich loaves",bagels,0.0658,0.4658,1.2086
"ice cream, poultry",spaghetti sauce,0.0808,0.451,1.2086
"waffles, shampoo",hand soap,0.065,0.4181,1.2086
"hand soap, pork",milk,0.0597,0.4595,1.2086
"ice cream, dinner rolls",shampoo,0.072,0.4457,1.2086
"yogurt, beef",shampoo,0.072,0.4457,1.2086
"milk, pork",cereals,0.0685,0.4785,1.2085
"cereals, sugar",paper towels,0.0685,0.4382,1.2085
"cereals, eggs",laundry detergent,0.0799,0.4573,1.2085
"yogurt, shampoo",beef,0.072,0.453,1.2085
"shampoo, aluminum foil",all- purpose,0.072,0.453,1.2085
"fruits, mixes",aluminum foil,0.0694,0.4647,1.2084
"soda, all- purpose",aluminum foil,0.0694,0.4647,1.2084
"soda, all- purpose",yogurt,0.0694,0.4647,1.2084
"toilet paper, bagels",cereals,0.0781,0.4785,1.2084
"cheeses, coffee/tea",ice cream,0.0808,0.4817,1.2084
"milk, eggs",coffee/tea,0.0773,0.4583,1.2084
"cereals, coffee/tea",shampoo,0.0755,0.4456,1.2084
"soap, flour",sugar,0.0658,0.436,1.2084
"cheeses, yogurt",mixes,0.0781,0.4541,1.2084
"aluminum foil, juice",individual meals,0.0781,0.4541,1.2084
"butter, pork",lunch meat,0.065,0.4774,1.2084
"paper towels, beef",dishwashing liquid/detergent,0.0729,0.4689,1.2084
"beef, ketchup",dishwashing liquid/detergent,0.0729,0.4689,1.2084
"coffee/tea, pasta",dishwashing liquid/detergent,0.0729,0.4689,1.2084
"toilet paper, soda",individual meals,0.0737,0.4541,1.2083
"bagels, juice",individual meals,0.0737,0.4541,1.2083
"waffles, butter",spaghetti sauce,0.0685,0.4509,1.2083
"butter, dinner rolls",spaghetti sauce,0.0685,0.4509,1.2083
"hand soap, mixes",spaghetti sauce,0.0685,0.4509,1.2083
"bagels, ketchup",sandwich loaves,0.0667,0.4222,1.2083
"soda, flour",sandwich loaves,0.0667,0.4222,1.2083
"sugar, bagels",fruits,0.0676,0.4477,1.2083
"pasta, individual meals",juice,0.0667,0.4551,1.2083
"waffles, sandwich loaves",juice,0.0667,0.4551,1.2083
"toilet paper, dishwashing liquid/detergent",individual meals,0.0694,0.454,1.2083
"flour, sandwich loaves",soda,0.0667,0.472,1.2082
"dishwashing liquid/detergent, butter",all- purpose,0.0676,0.4529,1.2082
"lunch meat, flour",juice,0.0711,0.4551,1.2082
"toilet paper, tortillas",juice,0.0711,0.4551,1.2082
"paper towels, tortillas",sandwich bags,0.0632,0.4444,1.2082
"sandwich bags, cereals",butter,0.0702,0.4444,1.2082
"spaghetti sauce, mixes",sandwich bags,0.0702,0.4444,1.2082
"sandwich bags, paper towels",butter,0.0667,0.4444,1.2082
"waffles, yogurt",sandwich bags,0.0773,0.4444,1.2082
"shampoo, flour",individual meals,0.065,0.454,1.2082
"cheeses, waffles",flour,0.0737,0.4264,1.2081
"dishwashing liquid/detergent, shampoo",dinner rolls,0.0685,0.4699,1.2081
"coffee/tea, laundry detergent",dinner rolls,0.0685,0.4699,1.2081
"sandwich bags, cheeses",spaghetti sauce,0.0764,0.4508,1.2081
"cheeses, eggs",spaghetti sauce,0.0764,0.4508,1.2081
"bagels, juice",pasta,0.0729,0.4486,1.2081
"spaghetti sauce, hand soap",poultry,0.0737,0.5091,1.208
"paper towels, soap",lunch meat,0.0737,0.4773,1.208
"soap, sugar",lunch meat,0.0737,0.4773,1.208
"waffles, mixes",lunch meat,0.0737,0.4773,1.208
"poultry, butter",eggs,0.0781,0.4709,1.208
"soap, soda",sandwich loaves,0.0737,0.4221,1.208
"fruits, beef",waffles,0.079,0.4762,1.208
"poultry, dinner rolls",juice,0.0887,0.455,1.2079
"fruits, sandwich loaves",all- purpose,0.0632,0.4528,1.2079
"coffee/tea, lunch meat",flour,0.0711,0.4263,1.2079
"milk, poultry",soap,0.0817,0.4581,1.2079
"milk, ketchup",soda,0.0737,0.4719,1.2079
"waffles, individual meals",cheeses,0.0737,0.4719,1.2079
"cheeses, yogurt",milk,0.079,0.4592,1.2079
"sandwich bags, flour",pork,0.0588,0.4295,1.2079
"dishwashing liquid/detergent, aluminum foil",fruits,0.0711,0.4475,1.2079
"paper towels, poultry",fruits,0.0711,0.4475,1.2079
"cheeses, individual meals",yogurt,0.0746,0.4645,1.2079
"spaghetti sauce, laundry detergent",cereals,0.0773,0.4783,1.2078
"ice cream, beef",cereals,0.0773,0.4783,1.2078
"ice cream, dinner rolls",cereals,0.0773,0.4783,1.2078
"coffee/tea, all- purpose",poultry,0.0746,0.509,1.2078
"aluminum foil, pork",poultry,0.0746,0.509,1.2078
"fruits, milk",poultry,0.0746,0.509,1.2078
"spaghetti sauce, dishwashing liquid/detergent",poultry,0.0746,0.509,1.2078
"butter, ketchup",pork,0.0615,0.4294,1.2078
"toilet paper, waffles",lunch meat,0.0825,0.4772,1.2077
"cheeses, dishwashing liquid/detergent",laundry detergent,0.0746,0.457,1.2077
"all- purpose, sandwich loaves",spaghetti sauce,0.0641,0.4506,1.2077
"cheeses, laundry detergent",flour,0.0685,0.4262,1.2077
"laundry detergent, aluminum foil",flour,0.0685,0.4262,1.2077
"aluminum foil, lunch meat",flour,0.0685,0.4262,1.2077
"spaghetti sauce, coffee/tea",ketchup,0.065,0.4485,1.2076
"cheeses, tortillas",pasta,0.065,0.4485,1.2076
"pasta, flour",paper towels,0.065,0.4379,1.2076
"shampoo, all- purpose",sandwich loaves,0.0641,0.422,1.2076
"hand soap, pork",all- purpose,0.0588,0.4527,1.2076
"milk, dishwashing liquid/detergent",pasta,0.0764,0.4485,1.2075
"coffee/tea, pork",poultry,0.0755,0.5089,1.2075
"toilet paper, soda",paper towels,0.0711,0.4378,1.2075
"sugar, soda",paper towels,0.0711,0.4378,1.2075
"tortillas, mixes",paper towels,0.0711,0.4378,1.2075
"paper towels, bagels",dishwashing liquid/detergent,0.072,0.4686,1.2075
"soap, beef",spaghetti sauce,0.072,0.4505,1.2075
"soap, pasta",spaghetti sauce,0.072,0.4505,1.2075
"individual meals, sandwich loaves",spaghetti sauce,0.072,0.4505,1.2075
"laundry detergent, mixes",spaghetti sauce,0.072,0.4505,1.2075
"waffles, bagels",spaghetti sauce,0.072,0.4505,1.2075
"waffles, poultry",fruits,0.0746,0.4474,1.2075
"paper towels, dishwashing liquid/detergent",dinner rolls,0.0746,0.4696,1.2074
"sandwich bags, soap",dinner rolls,0.0746,0.4696,1.2074
"soap, sugar",flour,0.0658,0.4261,1.2074
juice,toilet paper,0.1721,0.4569,1.2074
toilet paper,juice,0.1721,0.4548,1.2074
"waffles, poultry",beef,0.0755,0.4526,1.2074
"sandwich bags, coffee/tea",lunch meat,0.0729,0.477,1.2074
"fruits, mixes",hand soap,0.0623,0.4176,1.2074
"soap, mixes",aluminum foil,0.0685,0.4643,1.2074
"milk, butter",soda,0.0658,0.4717,1.2073
"toilet paper, soap",waffles,0.0781,0.4759,1.2073
"poultry, soda",laundry detergent,0.079,0.4569,1.2073
"poultry, soda",toilet paper,0.079,0.4569,1.2073
"cheeses, mixes",tortillas,0.0729,0.4462,1.2073
"spaghetti sauce, sandwich loaves",poultry,0.0764,0.5088,1.2073
"soap, pasta",cereals,0.0764,0.478,1.2072
"toilet paper, aluminum foil",hand soap,0.0667,0.4176,1.2072
"individual meals, sandwich loaves",hand soap,0.0667,0.4176,1.2072
"sugar, coffee/tea",toilet paper,0.065,0.4568,1.2072
"all- purpose, flour",laundry detergent,0.065,0.4568,1.2072
"poultry, shampoo",lunch meat,0.0817,0.4769,1.2071
"shampoo, flour",sugar,0.0623,0.4356,1.2071
"pasta, hand soap",flour,0.0632,0.426,1.2071
"fruits, soap",flour,0.0632,0.426,1.2071
"coffee/tea, lunch meat",dishwashing liquid/detergent,0.0781,0.4684,1.2071
"butter, mixes",ketchup,0.0685,0.4483,1.2071
"cereals, dinner rolls",tortillas,0.0764,0.4462,1.2071
"paper towels, yogurt",shampoo,0.0676,0.4451,1.207
"hand soap, mixes",shampoo,0.0676,0.4451,1.207
"toilet paper, sugar",shampoo,0.0676,0.4451,1.207
"mixes, all- purpose",shampoo,0.0676,0.4451,1.207
"coffee/tea, flour",poultry,0.0773,0.5087,1.207
"butter, dinner rolls",poultry,0.0773,0.5087,1.207
"milk, coffee/tea",poultry,0.0773,0.5087,1.207
"hand soap, mixes",poultry,0.0773,0.5087,1.207
"beef, laundry detergent",fruits,0.0632,0.4472,1.207
"milk, lunch meat",individual meals,0.0729,0.4536,1.207
"fruits, mixes",milk,0.0685,0.4588,1.2069
"toilet paper, cheeses",shampoo,0.0746,0.445,1.2069
"cheeses, coffee/tea",shampoo,0.0746,0.445,1.2069
"sandwich bags, poultry",dinner rolls,0.0808,0.4694,1.2068
"eggs, coffee/tea",yogurt,0.0737,0.4641,1.2068
"ice cream, laundry detergent",aluminum foil,0.0737,0.4641,1.2068
"cereals, all- purpose",mixes,0.0685,0.4535,1.2068
"paper towels, soap",juice,0.0702,0.4545,1.2068
"pork, flour",juice,0.0658,0.4545,1.2068
"waffles, yogurt",juice,0.079,0.4545,1.2068
"beef, all- purpose",juice,0.0658,0.4545,1.2068
"beef, shampoo",poultry,0.0781,0.5086,1.2068
"sugar, coffee/tea",flour,0.0606,0.4259,1.2068
"tortillas, ketchup",sandwich loaves,0.0615,0.4217,1.2068
"shampoo, all- purpose",toilet paper,0.0694,0.4566,1.2068
"waffles, butter",toilet paper,0.0694,0.4566,1.2068
"paper towels, yogurt",toilet paper,0.0694,0.4566,1.2068
"cheeses, hand soap",ice cream,0.0667,0.481,1.2068
"milk, sandwich loaves",yogurt,0.0623,0.4641,1.2067
"toilet paper, cheeses",spaghetti sauce,0.0755,0.4503,1.2067
"fruits, poultry",spaghetti sauce,0.0755,0.4503,1.2067
"cheeses, bagels",spaghetti sauce,0.0755,0.4503,1.2067
"sugar, bagels",lunch meat,0.072,0.4767,1.2067
"sandwich bags, soda",waffles,0.0773,0.4757,1.2067
"eggs, flour",fruits,0.0667,0.4471,1.2066
"yogurt, dishwashing liquid/detergent",cereals,0.0755,0.4778,1.2066
"aluminum foil, mixes",sandwich bags,0.0764,0.4439,1.2066
"toilet paper, yogurt",sandwich loaves,0.0685,0.4216,1.2066
"butter, soda",paper towels,0.0676,0.4375,1.2066
"laundry detergent, juice",soap,0.0711,0.4576,1.2066
"beef, juice",poultry,0.079,0.5085,1.2066
"soda, tortillas",poultry,0.079,0.5085,1.2066
"soda, juice",dinner rolls,0.0737,0.4693,1.2066
"laundry detergent, ketchup",dinner rolls,0.0737,0.4693,1.2066
"soap, spaghetti sauce",pasta,0.072,0.4481,1.2066
"paper towels, yogurt",dishwashing liquid/detergent,0.0711,0.4682,1.2065
"sugar, flour",waffles,0.0685,0.4756,1.2065
"sugar, lunch meat",toilet paper,0.0737,0.4565,1.2064
"waffles, ketchup",toilet paper,0.0737,0.4565,1.2064
"cheeses, ketchup",ice cream,0.0773,0.4809,1.2064
"flour, juice",cheeses,0.065,0.4713,1.2064
"sandwich bags, sandwich loaves",soda,0.065,0.4713,1.2064
"poultry, laundry detergent",all- purpose,0.079,0.4523,1.2064
"soap, soda",all- purpose,0.079,0.4523,1.2064
"ketchup, flour",sandwich bags,0.0658,0.4438,1.2064
"sandwich bags, sandwich loaves",bagels,0.0641,0.465,1.2064
"sugar, mixes",bagels,0.0641,0.465,1.2064
"hand soap, juice",milk,0.0632,0.4586,1.2063
"sugar, shampoo",eggs,0.0694,0.4702,1.2063
"butter, individual meals",eggs,0.0694,0.4702,1.2063
"tortillas, pork",eggs,0.0694,0.4702,1.2063
"shampoo, hand soap",beef,0.0623,0.4522,1.2063
"yogurt, butter",sandwich bags,0.0623,0.4438,1.2063
"sandwich bags, sandwich loaves",tortillas,0.0615,0.4459,1.2063
"cereals, tortillas",milk,0.0729,0.4586,1.2062
"eggs, mixes",milk,0.0729,0.4586,1.2062
"tortillas, laundry detergent",yogurt,0.0676,0.4639,1.2062
"fruits, sugar",yogurt,0.0676,0.4639,1.2062
"soap, bagels",aluminum foil,0.0676,0.4639,1.2062
"coffee/tea, sandwich loaves",yogurt,0.0676,0.4639,1.2062
"yogurt, ketchup",cheeses,0.072,0.4713,1.2062
"sandwich bags, dinner rolls",soda,0.072,0.4713,1.2062
"cheeses, sugar",soda,0.072,0.4713,1.2062
"yogurt, sandwich loaves",cheeses,0.072,0.4713,1.2062
"yogurt, ketchup",soda,0.072,0.4713,1.2062
"yogurt, mixes",dishwashing liquid/detergent,0.0773,0.4681,1.2062
"individual meals, flour",dinner rolls,0.0667,0.4691,1.2062
"sugar, coffee/tea",dinner rolls,0.0667,0.4691,1.2062
"soda, dinner rolls",laundry detergent,0.0781,0.4564,1.2062
"spaghetti sauce, ice cream",poultry,0.0808,0.5083,1.2061
"tortillas, mixes",bagels,0.0755,0.4649,1.2061
"eggs, juice",soap,0.0755,0.4574,1.2061
"bagels, individual meals",soap,0.0755,0.4574,1.2061
"milk, yogurt",cheeses,0.079,0.4712,1.2061
"bagels, poultry",cheeses,0.079,0.4712,1.2061
"coffee/tea, laundry detergent",tortillas,0.065,0.4458,1.206
"milk, pork",hand soap,0.0597,0.4172,1.206
"butter, pasta",spaghetti sauce,0.0632,0.45,1.206
"milk, shampoo",lunch meat,0.0711,0.4765,1.206
"beef, lunch meat",spaghetti sauce,0.0711,0.45,1.206
"ice cream, sandwich loaves",spaghetti sauce,0.0711,0.45,1.206
"waffles, individual meals",cereals,0.0746,0.4775,1.206
"bagels, individual meals",fruits,0.0737,0.4468,1.206
"shampoo, flour",ketchup,0.0641,0.4479,1.2059
"milk, aluminum foil",poultry,0.0817,0.5082,1.2059
"yogurt, coffee/tea",poultry,0.0817,0.5082,1.2059
"ketchup, pork",hand soap,0.0641,0.4171,1.2059
"cereals, lunch meat",mixes,0.0764,0.4531,1.2059
"lunch meat, flour",sandwich loaves,0.0658,0.4213,1.2058
"spaghetti sauce, aluminum foil",sandwich loaves,0.0658,0.4213,1.2058
"soap, aluminum foil",yogurt,0.0729,0.4637,1.2058
"toilet paper, shampoo",yogurt,0.0729,0.4637,1.2058
"sugar, flour",soap,0.0658,0.4573,1.2058
"cereals, soap",poultry,0.0825,0.5081,1.2057
"poultry, laundry detergent",soap,0.0799,0.4573,1.2057
"sugar, beef",dinner rolls,0.0729,0.4689,1.2057
"waffles, shampoo",dinner rolls,0.0729,0.4689,1.2057
"sandwich bags, mixes",dinner rolls,0.0729,0.4689,1.2057
"shampoo, aluminum foil",individual meals,0.072,0.453,1.2056
"ice cream, spaghetti sauce",individual meals,0.072,0.453,1.2056
"laundry detergent, juice",beef,0.0702,0.452,1.2056
"milk, aluminum foil",paper towels,0.0702,0.4372,1.2056
"individual meals, juice",sugar,0.0676,0.435,1.2056
"soda, tortillas",sugar,0.0676,0.435,1.2056
"paper towels, shampoo",sugar,0.0676,0.435,1.2056
"coffee/tea, pasta",sugar,0.0676,0.435,1.2056
"sandwich bags, pork",dishwashing liquid/detergent,0.0702,0.4678,1.2056
"milk, lunch meat",eggs,0.0755,0.4699,1.2056
"cereals, bagels",juice,0.0737,0.4541,1.2055
"poultry, all- purpose",sugar,0.0764,0.435,1.2055
"hand soap, flour",yogurt,0.0615,0.4636,1.2055
"butter, flour",cheeses,0.0641,0.471,1.2055
"sugar, eggs",ketchup,0.0676,0.4477,1.2054
"fruits, all- purpose",laundry detergent,0.0685,0.4561,1.2054
"cereals, lunch meat",yogurt,0.0781,0.4635,1.2054
"tortillas, ketchup",eggs,0.0685,0.4699,1.2054
"sugar, laundry detergent",individual meals,0.0676,0.4529,1.2054
"milk, pasta",cheeses,0.0711,0.4709,1.2054
"eggs, pork",cheeses,0.0711,0.4709,1.2054
"soap, poultry",spaghetti sauce,0.0825,0.4498,1.2054
"soap, sugar",cereals,0.0737,0.4773,1.2054
"beef, dinner rolls",cereals,0.0737,0.4773,1.2054
"hand soap, lunch meat",juice,0.065,0.454,1.2053
"waffles, hand soap",juice,0.065,0.454,1.2053
"milk, pork",juice,0.065,0.454,1.2053
"paper towels, dishwashing liquid/detergent",flour,0.0676,0.4254,1.2053
"ice cream, spaghetti sauce",waffles,0.0755,0.4751,1.2053
"eggs, lunch meat",waffles,0.0755,0.4751,1.2053
"eggs, ketchup",soda,0.0781,0.4709,1.2053
"cereals, milk",shampoo,0.0773,0.4444,1.2053
"cheeses, flour",pork,0.0685,0.4286,1.2053
"soda, lunch meat",pork,0.0685,0.4286,1.2053
"shampoo, lunch meat",pork,0.0685,0.4286,1.2053
"waffles, bagels",pork,0.0685,0.4286,1.2053
"paper towels, laundry detergent",lunch meat,0.0702,0.4762,1.2053
"ketchup, dinner rolls",shampoo,0.0702,0.4444,1.2053
"eggs, ketchup",pork,0.0711,0.4286,1.2053
"spaghetti sauce, sandwich loaves",shampoo,0.0667,0.4444,1.2053
"eggs, all- purpose",pork,0.0685,0.4286,1.2053
"fruits, beef",lunch meat,0.079,0.4762,1.2053
"butter, laundry detergent",shampoo,0.0702,0.4444,1.2053
"mixes, flour",shampoo,0.0667,0.4444,1.2053
"laundry detergent, pasta",soap,0.0702,0.4571,1.2053
"all- purpose, juice",coffee/tea,0.0702,0.4571,1.2053
"waffles, lunch meat",coffee/tea,0.0843,0.4571,1.2053
"paper towels, eggs",spaghetti sauce,0.0746,0.4497,1.2053
"sandwich bags, fruits",soap,0.0702,0.4571,1.2053
"cheeses, all- purpose",spaghetti sauce,0.0667,0.4497,1.2052
"yogurt, butter",dinner rolls,0.0658,0.4687,1.2052
"soap, dishwashing liquid/detergent",toilet paper,0.0729,0.456,1.2052
"soap, individual meals",toilet paper,0.0729,0.456,1.2052
"coffee/tea, sandwich loaves",beef,0.0658,0.4518,1.2052
"cheeses, ketchup",bagels,0.0746,0.4645,1.2051
"cheeses, coffee/tea",poultry,0.0852,0.5079,1.2051
"fruits, dishwashing liquid/detergent",poultry,0.0852,0.5079,1.2051
"eggs, hand soap",yogurt,0.0667,0.4634,1.2051
"fruits, coffee/tea",yogurt,0.0667,0.4634,1.2051
"milk, dishwashing liquid/detergent",sandwich bags,0.0755,0.4433,1.2051
"aluminum foil, all- purpose",milk,0.072,0.4581,1.205
"coffee/tea, dinner rolls",pasta,0.0711,0.4475,1.205
"soda, coffee/tea",pasta,0.0711,0.4475,1.205
"sandwich bags, dinner rolls",flour,0.065,0.4253,1.205
"coffee/tea, individual meals",flour,0.065,0.4253,1.205
"tortillas, shampoo",cereals,0.0641,0.4771,1.205
"eggs, sandwich loaves",cereals,0.0641,0.4771,1.205
"mixes, flour",sandwich loaves,0.0632,0.4211,1.205
"fruits, all- purpose",sandwich loaves,0.0632,0.4211,1.205
"waffles, dinner rolls",laundry detergent,0.0773,0.456,1.205
"cheeses, eggs",laundry detergent,0.0773,0.456,1.205
"butter, pasta",waffles,0.0667,0.475,1.205
"hand soap, all- purpose",milk,0.0623,0.4581,1.2049
"bagels, flour",milk,0.0623,0.4581,1.2049
"fruits, tortillas",sugar,0.0615,0.4348,1.2049
"beef, tortillas",sugar,0.0615,0.4348,1.2049
"poultry, mixes",sugar,0.079,0.4348,1.2049
"cereals, soap",sandwich bags,0.072,0.4432,1.2049
"toilet paper, bagels",coffee/tea,0.0746,0.457,1.2049
"spaghetti sauce, eggs",soap,0.0746,0.457,1.2049
"sandwich bags, laundry detergent",soap,0.0746,0.457,1.2049
"ice cream, aluminum foil",individual meals,0.0799,0.4527,1.2048
"spaghetti sauce, bagels",paper towels,0.0729,0.4368,1.2048
"dishwashing liquid/detergent, soda",paper towels,0.0729,0.4368,1.2048
"dishwashing liquid/detergent, coffee/tea",dinner rolls,0.072,0.4686,1.2047
"laundry detergent, pasta",dinner rolls,0.072,0.4686,1.2047
"paper towels, soap",butter,0.0685,0.4432,1.2047
"paper towels, individual meals",sandwich bags,0.0685,0.4432,1.2047
"beef, soda",aluminum foil,0.072,0.4633,1.2047
"waffles, shampoo",aluminum foil,0.072,0.4633,1.2047
"paper towels, dinner rolls",aluminum foil,0.072,0.4633,1.2047
"beef, soda",yogurt,0.072,0.4633,1.2047
"beef, ketchup",yogurt,0.072,0.4633,1.2047
"cheeses, sandwich loaves",yogurt,0.072,0.4633,1.2047
"lunch meat, individual meals",ice cream,0.0852,0.4802,1.2047
"dishwashing liquid/detergent, eggs",poultry,0.0869,0.5077,1.2047
"yogurt, laundry detergent",eggs,0.0746,0.4696,1.2047
"butter, mixes",cereals,0.0729,0.477,1.2047
"fruits, lunch meat",all- purpose,0.0737,0.4516,1.2047
"bagels, flour",all- purpose,0.0615,0.4516,1.2047
"spaghetti sauce, bagels",pasta,0.0746,0.4474,1.2046
"beef, individual meals",bagels,0.0685,0.4643,1.2046
"sandwich bags, spaghetti sauce",bagels,0.0685,0.4643,1.2046
"toilet paper, shampoo",waffles,0.0746,0.4749,1.2046
"aluminum foil, all- purpose",waffles,0.0746,0.4749,1.2046
